"Nombre";
"Adaptador HD-USB";
"Aparato aire acondicionado";
"Auriculares+Micro PC";
"Base de conexión";
"Cajas/maletines caudales/SEGUR";
"Calculadora";
"Cámara";
"Carcasa HD";
"Cargador PDA";
"Cargador portátil";
"Convertidor canal host central";
"Destructora de papel";
"DVD doméstico";
"Enlace móvil";
"Equipo de megafonía";
"Extensión de batería";
"Extensor HDMI activo";
"Fax";
"FDD externo 3 1/2";
"Fuente de alimentación";
"Funda PDA-IMPR";
"Grabadora CD";
"Grabadora DVD";
"HD externo";
"HD interno IDE";
"HD interno SATA";
"HD interno SCSI";
"Impresora";
"Impresora-PDA";
"keyboard";
"Lector Código de Barras";
"Lector HD";
"Lector microfichas";
"Lector tarjetas";
"Máquina eléctrica de escribir";
"Multiplexor KVM";
"Multiplexor monitores";
"PDA";
"Peana VDI";
"Plegadora";
"Plotter";
"Proyector";
"Rotuladora";
"SAI";
"Scanner";
"Sist. audio port.";
"SSD SATA";
"Switch sobremesa";
"Tarjeta de sonido externa";
"Teclado";
"Televisión";
"TPV";
"Unidad de cartuchos (cintas)";
"Unidad de cintas magnéticas";
"Vídeo";
"Voyager 1472g";
"Webcam";
